"","name","network","agent","start","end","open","lat","lon"
"84","Auckland, Rakino Is","A64792",1416,1987-01-16,1989-06-30,FALSE,-36.713,174.947
"85","Kumeu","A64754",1408,1978-02-28,1989-02-28,FALSE,-36.787,174.551
"86","Dargaville Hospital","A53985",1195,1988-10-12,1988-12-11,FALSE,-35.932,173.872
"87","Whangarei Hospital","A54734",1284,1970-06-14,1988-11-29,FALSE,-35.739,174.3
"88","Panguru","A53331",1090,1986-10-31,1988-08-30,FALSE,-35.383,173.382
"89","Dargaville N.Z.E.D.","A53983",1193,1982-01-12,1988-08-08,FALSE,-35.936,173.876
"90","Whangarei Aero","A54733",1283,1967-08-31,1988-03-12,FALSE,-35.76955,174.36028
"91","Kerikeri Downs 2","A53193",1058,1984-08-04,1987-04-30,FALSE,-35.179,173.935
"92","Glenbervie Forest","A54631",1257,1947-08-31,1987-03-31,FALSE,-35.657,174.345
"93","Riverhead Forest","A64751",1405,1970-12-31,1987-03-28,FALSE,-36.766,174.579
"94","Pouto","A64212",1333,1980-08-10,1987-03-25,FALSE,-36.331,174.105
"95","Waitangi Forest","A54201",1198,1970-12-31,1986-07-31,FALSE,-35.258,174.071
"96","Kaikohe D.S.I.R.","A53482",1129,1972-12-31,1986-02-28,FALSE,-35.424,173.823
"97","Pangaru 2","A53432",1107,1984-06-06,1986-02-28,FALSE,-35.402,173.363
"98","Kerikeri Downs","A53192",1057,1981-09-30,1985-12-30,FALSE,-35.179,173.935
"99","Oyster Point","A64542",1379,1976-07-01,1985-08-31,FALSE,-36.566,174.434
"100","Umawera","A53352",1092,1971-12-31,1985-03-31,FALSE,-35.296,173.566
"101","Umawera, Te Tio Road","A53354",1094,1977-12-31,1982-04-30,FALSE,-35.313,173.548
"102","Te Hana","A64251",1337,1979-02-15,1980-03-31,FALSE,-36.257,174.507
"103","Mokohinau","A55911",1316,1972-04-30,1980-01-30,FALSE,-35.9,175.117
"104","Auckland,Oratia","A64961",1462,1970-12-31,1979-06-30,FALSE,-36.904,174.62
"105","Puketurua Northland","A54601",1246,1970-12-31,1975-12-31,FALSE,-35.673,174.08
"106","Punakitere","A53461",1113,1970-12-31,1975-05-31,FALSE,-35.441,173.67
"107","Kerikeri 1","A53291",1085,1951-12-31,1973-12-31,FALSE,-35.23,173.948
"108","Takatu, Matakana","A64372",1358,1970-12-31,1972-05-31,FALSE,-36.375,174.767
"109","Leigh 2 Ews","A64282",1340,1966-07-31,2024-08-24,TRUE,-36.26925,174.7992
"110","Pukekohe Ews","C74283",2006,1986-03-02,2024-08-24,TRUE,-37.20637,174.86384
"111","Warkworth Ews","A64464",17838,1999-11-03,2024-08-24,TRUE,-36.43435,174.66766
"112","Whatawhata 2 Ews","C75701",25162,2003-11-11,2024-08-24,TRUE,-37.78832,175.06906
"113","Hamilton, Ruakura 2 Ews","C75734",26117,2005-11-10,2024-08-24,TRUE,-37.77389,175.30517
"114","Auckland, North Shore Albany Ews","A64776",37852,2009-12-23,2024-08-24,TRUE,-36.74827,174.71377
"115","Firth Of Thames Ews","C75241",38619,2010-11-11,2024-08-24,TRUE,-37.21514,175.45045
"116","Whitianga Ews","B65863",40981,2015-08-20,2024-08-24,TRUE,-36.82817,175.67231
"117","Auckland, Motat Ews","A6487G",41351,2016-02-13,2024-08-24,TRUE,-36.86297,174.71185
"118","Auckland, Mangere 2 Ews","C64973",43711,2018-09-08,2024-08-24,TRUE,-36.9648,174.78052
"119","Manukau Heads Ews","A74054",45217,2022-04-06,2024-08-24,TRUE,-37.05299,174.54906
"120","Thames Ews","B75153",45320,2022-08-17,2024-08-24,TRUE,-37.1585,175.55138
"121","Skid Site Ews","O01251",45935,2023-11-24,2024-08-24,TRUE,-37.02112,175.16544
"122","Mangatawhiri Dam Ews","O01250",45934,2023-11-29,2024-08-24,TRUE,-37.09056,175.15515
"123","Auckland Aero","C74082",1962,1965-12-31,2024-08-23,TRUE,-37.00813,174.78873
"124","Hamilton Aero Aws","C75834",2112,1990-05-31,2024-08-23,TRUE,-37.86088,175.33175
"125","Whangarei Aero Aws","A54737",1287,1990-08-09,2024-08-23,TRUE,-35.77062,174.36285
"126","Whitianga Aero Aws","B65862",1520,1990-08-31,2024-08-23,TRUE,-36.83237,175.67542
"127","Mokohinau Island Aws","A55912",9654,1993-12-09,2024-08-23,TRUE,-35.90293,175.11537
"128","Whangaparaoa Aws","A64683",1400,1999-09-30,2024-08-23,TRUE,-36.60268,174.83458
"129","Auckland, Whenuapai Aws","A64762",23976,2005-02-18,2024-08-23,TRUE,-36.78698,174.63045
"130","Auckland Aero Backup Aws","C74084",41228,2013-08-01,2024-08-23,TRUE,-37.00895,174.80695
"131","Ardmore Aero Aws","C74094",41484,2016-07-05,2024-08-23,TRUE,-37.0303,174.97118
"132","Tiri Tiri Lighthouse","A64691",1401,1982-01-02,2024-07-31,TRUE,-36.6056,174.8977
"133","Waiheke Island, Awaroa Valley","A65812",1496,1984-12-13,2024-07-31,TRUE,-36.80698,175.11454
"134","Auckland, Henderson North","A64863",1423,1985-10-31,2024-07-31,TRUE,-36.85539,174.62383
"135","Paeroa Aws","B75362",1547,1990-09-30,2023-02-01,FALSE,-37.37065,175.68372
"136","Thames 2","B75152",1529,1957-10-01,2022-07-31,FALSE,-37.15858,175.55137
"137","Auckland, Sky Tower","A6487E",39915,2019-09-09,2022-05-10,FALSE,-36.85004,174.76242
"138","Toenepi Ews","B75752",23908,2002-06-19,2019-06-08,FALSE,-37.71958,175.58528
"139","Auckland, Mangere Ews","C64972",22719,2002-04-13,2019-01-30,FALSE,-36.96177,174.77642
"140","Holland Road, Hamilton Cws","B75735",26645,2014-04-02,2018-02-12,FALSE,-37.748,175.367
"141","North Shore, Auckland Regional Council","A64775",12328,1994-11-12,2017-06-29,FALSE,-36.786,174.736
"142","Lincoln Rd, Auckland Regional Council","A64866",22166,2001-07-18,2017-06-29,FALSE,-36.869,174.629
"143","Pakuranga, Auckland Regional Council","C64986",22167,2001-07-27,2017-06-29,FALSE,-36.907,174.893
"144","Penrose Ews, Auckland Regional Council","C64987",22254,2001-10-13,2017-06-29,FALSE,-36.904,174.816
"145","Auckland, Ardmore","C74091",1965,1969-07-14,2016-11-30,FALSE,-37.03402,174.96394
"146","Musick Pt Ews, Auckland Regional Council","A64894",18195,2000-06-30,2015-08-05,FALSE,-36.85,174.901
"147","Onehunga, Auckland Regional Council","A64981",12326,1994-08-19,2011-07-21,FALSE,-36.93033,174.80114
"148","Khyber Pass, Auckland Regional Council","A6487B",22164,2001-07-12,2011-07-19,FALSE,-36.86813,174.77063
"149","Henderson, Auckland Regional Council","A64865",12327,1994-11-16,2011-07-18,FALSE,-36.86261,174.63189
"150","Wiri, Auckland Regional Council","C64985",12325,1995-05-27,2011-06-14,FALSE,-36.993,174.87
"151","Kumeu Ews, Auckland Regional Council","A64756",26492,2006-06-04,2011-01-31,FALSE,-36.77822,174.5574
"152","Auckland,Owairaka","A64971",1468,1950-12-31,2008-10-05,FALSE,-36.893,174.726
"153","Hamilton, Ruakura Ews","C75733",12616,1996-10-25,2007-02-28,FALSE,-37.77879,175.31271
"154","Manukau Heads 2","A74052",1500,1984-01-11,2005-03-31,FALSE,-37.05276,174.54436
"155","Coromandel","B65752",1513,1978-04-30,2005-03-16,FALSE,-36.736,175.502
"156","Whatawhata","C75801",2103,1952-08-20,2004-01-31,FALSE,-37.812,175.087
"157","Port Fitzroy, Great Barrier","A65132",1485,1961-09-21,2003-06-29,FALSE,-36.17139,175.36273
"158","Te Aroha","B75571",1565,1950-12-31,1999-10-31,FALSE,-37.547,175.716
"159","Warkworth","A64463",1374,1972-03-31,1999-09-30,FALSE,-36.434,174.668
"160","Auckland, Mangere","C64971",1945,1959-02-01,1998-07-31,FALSE,-36.97,174.776
"161","Hamilton, Ruakura","C75731",2101,1939-12-31,1997-03-06,FALSE,-37.78,175.313
"162","Auckland City Edr","A6487A",1425,1990-09-30,1996-11-18,FALSE,-36.861,174.751
"163","Waiuku Forest","C74371",2011,1971-12-31,1995-12-31,FALSE,-37.346,174.719
"164","Cape Colville Aws","B65431",1504,1990-12-11,1994-05-30,FALSE,-36.49,175.341
"165","Paeroa","B75361",1546,1970-12-31,1994-01-31,FALSE,-37.378,175.664
"166","Tairua Forest","B75182",1534,1970-12-31,1993-12-31,FALSE,-37.172,175.853
"167","Rotoroa Is","A65811",1495,1983-04-08,1993-12-31,FALSE,-36.815,175.197
"168","Woodhill Forest","A64741",1402,1950-12-31,1993-12-30,FALSE,-36.749,174.431
"169","Waitoa 2","B75663",1577,1986-10-07,1993-10-31,FALSE,-37.595,175.63
"170","Auckland, Whenuapai Aero","A64761",1410,1950-12-31,1993-07-05,FALSE,-36.793,174.624
"171","Port Albert","A64242",7557,1992-05-01,1992-09-30,FALSE,-36.279,174.443
"172","Hunua Edl","C75003",2032,1979-02-13,1992-01-31,FALSE,-37.082,175.071
"173","Maramarua Forest","C75321",2075,1971-12-31,1991-10-20,FALSE,-37.306,175.253
"174","Te Kauwhata M.A.F.","C75412",2081,1954-01-31,1990-11-30,FALSE,-37.411,175.142
"175","Auckland City","A64878",1434,1971-12-31,1990-11-30,FALSE,-36.861,174.751
"176","Marsden Power Stn","A54842",1303,1970-10-01,1990-05-31,FALSE,-35.878,174.47
"177","Auckland, Albert Park","A64871",1427,1929-12-31,1989-12-31,FALSE,-36.853,174.767
"178","Little Barrier Is","A65201",1486,1982-06-23,1989-12-31,FALSE,-36.221,175.056
"179","Pukekohe M.A.F.","C74282",2005,1970-06-22,1989-11-30,FALSE,-37.208,174.863
"180","Whangapoua","B65753",1514,1989-03-06,1989-10-31,FALSE,-36.757,175.598
"181","Auckland, Rakino Is","A64792",1416,1987-01-16,1989-06-30,FALSE,-36.713,174.947
"182","Mt Te Aroha Tv Stn","B75572",1566,1970-12-31,1989-06-29,FALSE,-37.537,175.741
"183","Ngatea 3","B75241",1537,1983-11-30,1989-04-30,FALSE,-37.281,175.498
"184","Kumeu","A64754",1408,1978-02-28,1989-02-28,FALSE,-36.787,174.551
"185","Hamilton Aero","C75832",2110,1971-12-31,1988-09-29,FALSE,-37.86672,175.32873
"186","Whangapoua Forest","B65761",1515,1970-12-31,1988-06-29,FALSE,-36.76,175.601
"187","Whangarei Aero","A54733",1283,1967-08-31,1988-03-12,FALSE,-35.76955,174.36028
"188","Riverhead Forest","A64751",1405,1970-12-31,1987-03-28,FALSE,-36.766,174.579
"189","Pouto","A64212",1333,1980-08-10,1987-03-25,FALSE,-36.331,174.105
"190","Auckland,Otara","C64981",1948,1970-12-31,1986-07-31,FALSE,-36.956,174.872
"191","Huntly N.Z.E.D.","C75510",2085,1980-12-01,1986-07-31,FALSE,-37.544,175.147
"192","Oyster Point","A64542",1379,1976-07-01,1985-08-31,FALSE,-36.566,174.434
"193","Rukuhia","C75831",2109,1946-08-31,1984-09-30,FALSE,-37.83,175.3
"194","Taupiri","C75621",2095,1982-07-31,1984-08-30,FALSE,-37.603,175.203
"195","Orere Point","C65921",1958,1976-06-30,1980-05-31,FALSE,-36.962,175.243
"196","Mercer","C75202",2065,1976-02-29,1980-04-30,FALSE,-37.277,175.042
"197","Te Hana","A64251",1337,1979-02-15,1980-03-31,FALSE,-36.257,174.507
"198","Mokohinau","A55911",1316,1972-04-30,1980-01-30,FALSE,-35.9,175.117
