"","name","network","agent","start","end","open","lat","lon"
"343","Hawarden 2","H22962",4543,1978-02-28,1982-02-28,FALSE,-42.908,172.635
"344","Lincoln No3","H32643",4883,1975-07-15,1978-08-31,FALSE,-43.646,172.463
"345","Christchurch Airport","H32555",4852,1975-05-31,1976-04-30,FALSE,-43.493,172.537
"346","Camp Stream","H31173",4652,1966-06-30,1974-08-25,FALSE,-43.13,171.706
"347","Onawe Duvauchelle Bay","H32791",4928,1971-12-31,1972-12-31,FALSE,-43.762,172.925
"348","Balmoral","H22862",4531,1927-07-08,1949-12-31,FALSE,-42.833,172.683
"349","Bealey","H31061",4638,1867-05-31,1880-06-30,FALSE,-43.017,171.6
"350","Mt Cook Ews","H30706",18125,2000-03-30,2024-08-24,TRUE,-43.73633,170.0977
"351","Ranfurly Ews","I50115",18593,2000-11-22,2024-08-24,TRUE,-45.12427,170.10045
"352","Windsor Ews","I50087",18594,2000-11-23,2024-08-24,TRUE,-45.00829,170.82281
"353","Franz Josef Ews","F30313",24926,2003-05-31,2024-08-24,TRUE,-43.36548,170.13428
"354","Lake Tekapo Ews","H40042",24945,2003-06-19,2024-08-24,TRUE,-44.00173,170.44319
"355","Timaru Ews","H41425",35703,2008-06-17,2024-08-24,TRUE,-44.40882,171.25434
"356","Orari Estate Ews","H41132",35704,2008-07-10,2024-08-24,TRUE,-44.12476,171.31075
"357","Ivory Glacier Cws","F30192",36733,2009-02-04,2024-08-24,TRUE,-43.13409,170.91264
"358","Waimate Cws","H41702",36914,2009-04-07,2024-08-24,TRUE,-44.74127,171.0631
"359","Mt Potts Ews","H30592",37002,2009-05-12,2024-08-24,TRUE,-43.50495,170.92635
"360","Upper Rakaia Ews","H30291",38225,2010-06-29,2024-08-24,TRUE,-43.29206,170.99523
"361","Lismore, Racemans House Cws","H31944",39845,2012-09-07,2024-08-24,TRUE,-43.9207,171.4856
"362","Oamaru Ews","I51003",40986,2015-09-12,2024-08-24,TRUE,-45.05679,171.02261
"363","Mayfield At Ruapuna Forecast","H31827",43538,2018-07-27,2024-08-24,TRUE,-43.85887,171.29938
"364","Okarito Ews","F30213",44556,2020-12-12,2024-08-24,TRUE,-43.22161,170.16346
"365","Tara Hills Aws","I49592",5212,1985-04-30,2024-08-23,TRUE,-44.52612,169.88948
"366","Timaru Aero Aws","H41325",5086,1990-06-03,2024-08-23,TRUE,-44.30517,171.22141
"367","Oamaru Airport Aws","I41902",5142,1999-09-30,2024-08-23,TRUE,-44.97212,171.08108
"368","Oamaru Aws","I50194",25937,2005-09-22,2024-08-23,TRUE,-45.10148,170.95052
"369","Pukaki Aerodrome Aws","H40214",36596,2008-12-13,2024-08-23,TRUE,-44.24519,170.11671
"370","Fairlie Aws","H40075",37255,2009-05-07,2024-08-23,TRUE,-44.03774,170.77051
"371","Mueller Hut Ews","H30709",38102,2010-04-14,2024-08-23,TRUE,-43.72154,170.06493
"372","Mt Cook Aero Aws","H30715",41165,2012-09-07,2024-08-23,TRUE,-43.76507,170.1315
"373","Franz Josef @ Crawford Knob","F3042C",44374,2024-04-05,2024-08-23,TRUE,-43.46517,170.20631
"374","Lake Tekapo, Air Safaris","H40041",4970,1927-12-31,2024-07-31,TRUE,-44.002,170.441
"375","Orari Estate","H41131",5061,1972-08-01,2024-07-31,TRUE,-44.127,171.308
"376","Peel Forest","H31927",4772,1973-09-11,2024-07-31,TRUE,-43.90656,171.25902
"377","Mt Somers, Somer Downs","H31641",18394,2020-10-01,2024-07-31,TRUE,-43.674,171.413
"378","Otaio @ Springbank Road","H41511",43845,2019-08-06,2024-05-22,FALSE,-44.57194,171.15889
"379","Hakataramea Valley Cws","H40661",36209,2008-10-24,2022-05-31,FALSE,-44.63466,170.64731
"380","Methven, Three Springs Cws","H31656",37920,2010-01-30,2021-09-29,FALSE,-43.67767,171.5884
"381","Okarito","F30212",4053,1982-11-30,2019-01-31,FALSE,-43.22137,170.16533
"382","Naseby Forest 2","I50013",5258,1983-10-04,2017-02-28,FALSE,-45.028,170.142
"383","Franz Josef","F30312",4060,1982-01-02,2015-12-31,FALSE,-43.394,170.181
"384","St Bathans, Post Office","I49884",18225,2000-05-05,2010-11-14,FALSE,-44.87336,169.81084
"385","Woodbury 2","H41025",7727,1992-11-03,2010-11-11,FALSE,-44.0353,171.20693
"386","Fairlie 2","H40185",7726,1992-11-05,2009-08-01,FALSE,-44.10263,170.82531
"387","Waimate","H41701",5102,1908-01-31,2008-11-30,FALSE,-44.741,171.036
"388","Timaru 2","H41424",5095,1984-09-12,2008-10-31,FALSE,-44.40882,171.25434
"389","Twizel 2","H40213",4997,1991-10-28,2002-07-01,FALSE,-44.264,170.103
"390","Mt Cook,The Hermitage","H30711",4591,1929-04-30,2000-02-29,FALSE,-43.734,170.093
